opponent, outcome, home/away, tourn, team1
TCU, W, A, 0,Kansas
West Virginia, W, H, 0,Kansas
Oklahoma, W, A, 0,Kansas
Oklahoma St., W, H, 0,Kansas
Kansas St., W, A, 0,Kansas
Baylor, W, A, 0,Kansas
Texas Tech, W, H, 0,Kansas
Texas, W, A, 0,Kansas
Iowa St., W, H, 0,Kansas
Kansas St., W, N, 1,Kansas
Baylor, W, N, 1,Kansas
West Virginia, W, N, 1,Kansas
Austin Peay, W, N, 2,Kansas
Connecticut, W, N, 2,Kansas
Maryland, W, N, 2,Kansas
Villanova, L, N, 2,Kansas
Morgan St., W, H, 0,Virginia
George Washington, L, A, 0,Virginia
Bradley, W, N, 0,Virginia
Long Beach St., W, N, 0,Virginia
George Mason, W, N, 0,Virginia
Lehigh, W, H, 0,Virginia
Ohio St., W, A, 0,Virginia
William & Mary, W, H, 0,Virginia
West Virginia, W, N, 0,Virginia
Villanova, W, H, 0,Virginia
California, W, H, 0,Virginia
Oakland, W, H, 0,Virginia
Notre Dame, W, H, 0,Virginia
Virginia Tech, L, A, 0,Virginia
Georgia Tech, L, A, 0,Virginia
Miami FL, W, H, 0,Virginia
Florida St., L, A, 0,Virginia
Clemson, W, H, 0,Virginia
Syracuse, W, H, 0,Virginia
Wake Forest, W, A, 0,Virginia
Louisville, W, A, 0,Virginia
Boston College, W, H, 0,Virginia
Pittsburgh, W, A, 0,Virginia
Virginia Tech, W, H, 0,Virginia
Duke, L, A, 0,Virginia
North Carolina St., W, H, 0,Virginia
Miami FL, L, A, 0,Virginia
North Carolina, W, H, 0,Virginia
Clemson, W, A, 0,Virginia
Louisville, W, H, 0,Virginia
Georgia Tech, W, N, 1,Virginia
Miami FL, W, N, 1,Virginia
North Carolina, L, N, 1,Virginia
Hampton, W, N, 2,Virginia
Butler, W, N, 2,Virginia
Iowa St., W, N, 2,Virginia
Syracuse, L, N, 2,Virginia
Florida Atlantic, W, H, 0,Michigan St.
Kansas, W, N, 0,Michigan St.
Arkansas Pine Bluff, W, H, 0,Michigan St.
Eastern Michigan, W, H, 0,Michigan St.
Boston College, W, N, 0,Michigan St.
Boise St., W, N, 0,Michigan St.
Providence, W, N, 0,Michigan St.
Louisville, W, H, 0,Michigan St.
Binghamton, W, H, 0,Michigan St.
Maryland Eastern Shore, W, H, 0,Michigan St.
Florida, W, H, 0,Michigan St.
Northeastern, W, A, 0,Michigan St.
Oakland, W, N, 0,Michigan St.
Iowa, L, A, 0,Michigan St.
Minnesota, W, A, 0,Michigan St.
Illinois, W, H, 0,Michigan St.
Penn St., W, A, 0,Michigan St.
Iowa, L, H, 0,Michigan St.
Wisconsin, L, A, 0,Michigan St.
Nebraska, L, H, 0,Michigan St.
Maryland, W, H, 0,Michigan St.
Northwestern, W, A, 0,Michigan St.
Rutgers, W, H, 0,Michigan St.
Michigan, W, A, 0,Michigan St.
Purdue, L, A, 0,Michigan St.
Indiana, W, H, 0,Michigan St.
Wisconsin, W, H, 0,Michigan St.
Ohio St., W, A, 0,Michigan St.
Penn St., W, H, 0,Michigan St.
Rutgers, W, A, 0,Michigan St.
Ohio St., W, H, 0,Michigan St.
Ohio St., W, N, 1,Michigan St.
Maryland, W, N, 1,Michigan St.
Purdue, W, N, 1,Michigan St.
Middle Tennessee, L, N, 2,Michigan St.
Albany, W, H, 0,Kentucky
NJIT, W, H, 0,Kentucky
Duke, W, N, 0,Kentucky
Wright St., W, H, 0,Kentucky
Boston University, W, H, 0,Kentucky
South Florida, W, N, 0,Kentucky
Illinois St., W, H, 0,Kentucky
UCLA, L, A, 0,Kentucky
Eastern Kentucky, W, H, 0,Kentucky
Arizona St., W, H, 0,Kentucky
Ohio St., L, N, 0,Kentucky
Louisville, W, H, 0,Kentucky
Mississippi, W, H, 0,Kentucky
LSU, L, A, 0,Kentucky
Alabama, W, A, 0,Kentucky
Mississippi St., W, H, 0,Kentucky
Auburn, L, A, 0,Kentucky
Arkansas, W, A, 0,Kentucky
Vanderbilt, W, H, 0,Kentucky
Missouri, W, H, 0,Kentucky
Kansas, L, A, 0,Kentucky
Tennessee, L, A, 0,Kentucky
Florida, W, H, 0,Kentucky
Georgia, W, H, 0,Kentucky
South Carolina, W, A, 0,Kentucky
Tennessee, W, H, 0,Kentucky
Texas A&M, L, A, 0,Kentucky
Alabama, W, H, 0,Kentucky
Vanderbilt, L, A, 0,Kentucky
Florida, W, A, 0,Kentucky
LSU, W, H, 0,Kentucky
Alabama, W, N, 1,Kentucky
Georgia, W, N, 1,Kentucky
Texas A&M, W, N, 1,Kentucky
Stony Brook, W, N, 2,Kentucky
Indiana, L, N, 2,Kentucky
Samford, W, H, 0,Louisville
Hartford, W, H, 0,Louisville
North Florida, W, H, 0,Louisville
St. Francis NY, W, H, 0,Louisville
Saint Louis, W, N, 0,Louisville
Michigan St., L, A, 0,Louisville
Grand Canyon, W, H, 0,Louisville
Eastern Michigan, W, H, 0,Louisville
Kennesaw St., W, H, 0,Louisville
Western Kentucky, W, H, 0,Louisville
UMKC, W, H, 0,Louisville
Utah Valley, W, H, 0,Louisville
Kentucky, L, A, 0,Louisville
Wake Forest, W, H, 0,Louisville
North Carolina St., W, A, 0,Louisville
Clemson, L, A, 0,Louisville
Pittsburgh, W, H, 0,Louisville
Florida St., W, H, 0,Louisville
Georgia Tech, W, A, 0,Louisville
Virginia Tech, W, A, 0,Louisville
Virginia, L, H, 0,Louisville
North Carolina, W, H, 0,Louisville
Boston College, W, H, 0,Louisville
Duke, L, A, 0,Louisville
Notre Dame, L, A, 0,Louisville
Syracuse, W, H, 0,Louisville
Duke, W, H, 0,Louisville
Pittsburgh, W, A, 0,Louisville
Miami FL, L, A, 0,Louisville
Georgia Tech, W, H, 0,Louisville
Virginia, L, A, 0,Louisville
Northern Kentucky, W, H, 0,West Virginia
James Madison, W, H, 0,West Virginia
Stetson, W, H, 0,West Virginia
Bethune Cookman, W, H, 0,West Virginia
Richmond, W, N, 0,West Virginia
San Diego St., W, N, 0,West Virginia
Kennesaw St., W, H, 0,West Virginia
Virginia, L, N, 0,West Virginia
Louisiana Monroe, W, H, 0,West Virginia
Marshall, W, N, 0,West Virginia
Eastern Kentucky, W, H, 0,West Virginia
Virginia Tech, W, A, 0,West Virginia
Kansas St., W, A, 0,West Virginia
TCU, W, A, 0,West Virginia
Oklahoma St., W, H, 0,West Virginia
Kansas, W, H, 0,West Virginia
Oklahoma, L, A, 0,West Virginia
Texas, L, H, 0,West Virginia
Texas Tech, W, A, 0,West Virginia
Kansas St., W, H, 0,West Virginia
Florida, L, A, 0,West Virginia
Iowa St., W, A, 0,West Virginia
Baylor, W, H, 0,West Virginia
Kansas, L, A, 0,West Virginia
TCU, W, H, 0,West Virginia
Texas, L, A, 0,West Virginia
Oklahoma, L, H, 0,West Virginia
Iowa St., W, H, 0,West Virginia
Oklahoma St., W, A, 0,West Virginia
Texas Tech, W, H, 0,West Virginia
Baylor, W, A, 0,West Virginia
TCU, W, N, 1,West Virginia
Oklahoma, W, N, 1,West Virginia
Kansas, L, N, 1,West Virginia
Stephen F. Austin, L, N, 2,West Virginia
North Carolina A&T, W, H, 0,Purdue
Vermont, W, H, 0,Purdue
Incarnate Word, W, H, 0,Purdue
Old Dominion, W, N, 0,Purdue
Florida, W, N, 0,Purdue
Lehigh, W, H, 0,Purdue
Pittsburgh, W, A, 0,Purdue
New Mexico, W, H, 0,Purdue
IUPUI, W, H, 0,Purdue
Howard, W, H, 0,Purdue
Youngstown St., W, H, 0,Purdue
Butler, L, N, 0,Purdue
Vanderbilt, W, H, 0,Purdue
Wisconsin, W, A, 0,Purdue
Iowa, L, H, 0,Purdue
Michigan, W, H, 0,Purdue
Illinois, L, A, 0,Purdue
Penn St., W, H, 0,Purdue
Rutgers, W, A, 0,Purdue
Ohio St., W, H, 0,Purdue
Iowa, L, A, 0,Purdue
Minnesota, W, A, 0,Purdue
Nebraska, W, H, 0,Purdue
Maryland, L, A, 0,Purdue
Michigan St., W, H, 0,Purdue
Michigan, L, A, 0,Purdue
Northwestern, W, H, 0,Purdue
Indiana, L, A, 0,Purdue
Maryland, W, H, 0,Purdue
Nebraska, W, A, 0,Purdue
Wisconsin, W, H, 0,Purdue
Illinois, W, N, 1,Purdue
Michigan, W, N, 1,Purdue
Michigan St., L, N, 1,Purdue
Arkansas Little Rock, L, N, 2,Purdue
Memphis, W, A, 0,Oklahoma
McNeese St., W, H, 0,Oklahoma
Incarnate Word, W, H, 0,Oklahoma
Wisconsin, W, H, 0,Oklahoma
Central Arkansas, W, H, 0,Oklahoma
Villanova, W, N, 0,Oklahoma
Oral Roberts, W, H, 0,Oklahoma
Creighton, W, H, 0,Oklahoma
Washington St., W, N, 0,Oklahoma
Hawaii, W, A, 0,Oklahoma
Harvard, W, N, 0,Oklahoma
Iowa St., W, H, 0,Oklahoma
Kansas, L, A, 0,Oklahoma
Kansas St., W, H, 0,Oklahoma
Oklahoma St., W, A, 0,Oklahoma
West Virginia, W, H, 0,Oklahoma
Iowa St., L, A, 0,Oklahoma
Baylor, W, A, 0,Oklahoma
Texas Tech, W, H, 0,Oklahoma
LSU, W, A, 0,Oklahoma
TCU, W, H, 0,Oklahoma
Kansas St., L, A, 0,Oklahoma
Texas, W, H, 0,Oklahoma
Kansas, L, H, 0,Oklahoma
Texas Tech, L, A, 0,Oklahoma
West Virginia, W, A, 0,Oklahoma
Oklahoma St., W, H, 0,Oklahoma
Texas, L, A, 0,Oklahoma
Baylor, W, H, 0,Oklahoma
TCU, W, A, 0,Oklahoma
Iowa St., W, N, 1,Oklahoma
West Virginia, L, N, 1,Oklahoma
Cal St. Bakersfield, W, H, 2,Oklahoma
VCU, W, H, 2,Oklahoma
Texas A&M, W, N, 2,Oklahoma
Oregon, W, N, 2,Oklahoma
Villanova, L, N, 2,Oklahoma
Eastern Illinois, W, H, 0,Indiana
Austin Peay, W, H, 0,Indiana
Creighton, W, H, 0,Indiana
Wake Forest, L, N, 0,Indiana
St. John's, W, N, 0,Indiana
UNLV, L, N, 0,Indiana
Alcorn St., W, H, 0,Indiana
Duke, L, A, 0,Indiana
Morehead St., W, H, 0,Indiana
IPFW, W, H, 0,Indiana
McNeese St., W, H, 0,Indiana
Notre Dame, W, N, 0,Indiana
Kennesaw St., W, H, 0,Indiana
Rutgers, W, A, 0,Indiana
Nebraska, W, A, 0,Indiana
Wisconsin, W, H, 0,Indiana
Ohio St., W, H, 0,Indiana
Minnesota, W, A, 0,Indiana
Illinois, W, H, 0,Indiana
Northwestern, W, H, 0,Indiana
Wisconsin, L, A, 0,Indiana
Minnesota, W, H, 0,Indiana
Michigan, W, A, 0,Indiana
Penn St., L, A, 0,Indiana
Iowa, W, H, 0,Indiana
Michigan St., L, A, 0,Indiana
Nebraska, W, H, 0,Indiana
Purdue, W, H, 0,Indiana
Illinois, W, A, 0,Indiana
Iowa, W, A, 0,Indiana
Maryland, W, H, 0,Indiana
Michigan, L, N, 1,Indiana
Chattanooga, W, N, 2,Indiana
Kentucky, W, N, 2,Indiana
North Carolina, L, N, 2,Indiana
Jackson St., W, H, 0,Oregon
Baylor, W, H, 0,Oregon
Savannah St., W, H, 0,Oregon
Valparaiso, W, H, 0,Oregon
Arkansas St., W, H, 0,Oregon
Fresno St., W, H, 0,Oregon
UNLV, L, A, 0,Oregon
Navy, W, N, 0,Oregon
Boise St., L, A, 0,Oregon
UC Irvine, W, H, 0,Oregon
Long Beach St., W, H, 0,Oregon
Alabama, W, A, 0,Oregon
Oregon St., L, A, 0,Oregon
California, W, H, 0,Oregon
Stanford, W, H, 0,Oregon
Utah, W, A, 0,Oregon
Colorado, L, A, 0,Oregon
USC, W, H, 0,Oregon
UCLA, W, H, 0,Oregon
Arizona, W, A, 0,Oregon
Arizona St., W, A, 0,Oregon
Colorado, W, H, 0,Oregon
Utah, W, H, 0,Oregon
California, L, A, 0,Oregon
Stanford, L, A, 0,Oregon
Oregon St., W, H, 0,Oregon
Washington St., W, H, 0,Oregon
Washington, W, H, 0,Oregon
UCLA, W, A, 0,Oregon
USC, W, A, 0,Oregon
Washington, W, N, 1,Oregon
Arizona, W, N, 1,Oregon
Utah, W, N, 1,Oregon
Holy Cross, W, N, 2,Oregon
Saint Joseph's, W, N, 2,Oregon
Duke, W, N, 2,Oregon
Oklahoma, L, N, 2,Oregon
Charleston Southern, W, H, 0,Wichita St.
Tulsa, L, A, 0,Wichita St.
USC, L, N, 0,Wichita St.
Alabama, L, N, 0,Wichita St.
Iowa, L, N, 0,Wichita St.
Saint Louis, W, A, 0,Wichita St.
UNLV, W, H, 0,Wichita St.
Utah, W, H, 0,Wichita St.
Seton Hall, L, A, 0,Wichita St.
Nevada, W, H, 0,Wichita St.
Drake, W, H, 0,Wichita St.
Bradley, W, A, 0,Wichita St.
Evansville, W, H, 0,Wichita St.
Southern Illinois, W, A, 0,Wichita St.
Missouri St., W, A, 0,Wichita St.
Indiana St., W, H, 0,Wichita St.
Northern Iowa, W, A, 0,Wichita St.
Bradley, W, H, 0,Wichita St.
Loyola Chicago, W, H, 0,Wichita St.
Evansville, W, A, 0,Wichita St.
Southern Illinois, W, H, 0,Wichita St.
Illinois St., L, A, 0,Wichita St.
Drake, W, A, 0,Wichita St.
Northern Iowa, L, H, 0,Wichita St.
New Mexico St., W, H, 0,Wichita St.
Missouri St., W, H, 0,Wichita St.
Indiana St., W, A, 0,Wichita St.
Loyola Chicago, W, A, 0,Wichita St.
Illinois St., W, H, 0,Wichita St.
Loyola Chicago, W, N, 1,Wichita St.
Northern Iowa, L, N, 1,Wichita St.
Vanderbilt, W, N, 2,Wichita St.
Arizona, W, N, 2,Wichita St.
Miami FL, L, N, 2,Wichita St.
Miami OH, W, H, 0,Xavier
Missouri, W, H, 0,Xavier
Michigan, W, A, 0,Xavier
Northern Kentucky, W, H, 0,Xavier
Alabama, W, N, 0,Xavier
USC, W, N, 0,Xavier
Dayton, W, N, 0,Xavier
Western Kentucky, W, H, 0,Xavier
Wright St., W, H, 0,Xavier
Cincinnati, W, H, 0,Xavier
Auburn, W, H, 0,Xavier
Wake Forest, W, A, 0,Xavier
Villanova, L, A, 0,Xavier
Butler, W, H, 0,Xavier
St. John's, W, A, 0,Xavier
DePaul, W, H, 0,Xavier
Marquette, W, A, 0,Xavier
Georgetown, L, H, 0,Xavier
Seton Hall, W, H, 0,Xavier
Providence, W, A, 0,Xavier
DePaul, W, A, 0,Xavier
St. John's, W, H, 0,Xavier
Marquette, W, H, 0,Xavier
Creighton, L, A, 0,Xavier
Butler, W, A, 0,Xavier
Providence, W, H, 0,Xavier
Georgetown, W, A, 0,Xavier
Villanova, W, H, 0,Xavier
Seton Hall, L, A, 0,Xavier
Creighton, W, H, 0,Xavier
Marquette, W, N, 1,Xavier
Seton Hall, L, N, 1,Xavier
Weber St., W, N, 2,Xavier
Wisconsin, L, N, 2,Xavier
UT Rio Grande Valley, W, H, 0,Miami FL
Louisiana Lafayette, W, H, 0,Miami FL
Mississippi St., W, N, 0,Miami FL
Utah, W, N, 0,Miami FL
Butler, W, N, 0,Miami FL
Northeastern, L, H, 0,Miami FL
Nebraska, W, A, 0,Miami FL
Charlotte, W, H, 0,Miami FL
Florida, W, H, 0,Miami FL
College of Charleston, W, H, 0,Miami FL
La Salle, W, A, 0,Miami FL
Princeton, W, H, 0,Miami FL
Syracuse, W, H, 0,Miami FL
Florida St., W, H, 0,Miami FL
Virginia, L, A, 0,Miami FL
Clemson, L, A, 0,Miami FL
Boston College, W, A, 0,Miami FL
Wake Forest, W, H, 0,Miami FL
Duke, W, H, 0,Miami FL
North Carolina St., L, A, 0,Miami FL
Notre Dame, W, H, 0,Miami FL
Georgia Tech, W, A, 0,Miami FL
Pittsburgh, W, H, 0,Miami FL
Florida St., W, A, 0,Miami FL
Virginia Tech, W, H, 0,Miami FL
North Carolina, L, A, 0,Miami FL
Virginia, W, H, 0,Miami FL
Louisville, W, H, 0,Miami FL
Notre Dame, W, A, 0,Miami FL
Virginia Tech, L, A, 0,Miami FL
Virginia Tech, W, N, 1,Miami FL
Virginia, L, N, 1,Miami FL
Buffalo, W, N, 2,Miami FL
Wichita St., W, N, 2,Miami FL
Villanova, L, N, 2,Miami FL
Sam Houston St., W, H, 0,SMU
Stanford, W, A, 0,SMU
Yale, W, H, 0,SMU
Brown, W, H, 0,SMU
TCU, W, A, 0,SMU
New Hampshire, W, H, 0,SMU
Michigan, W, H, 0,SMU
Nicholls St., W, H, 0,SMU
Hampton, W, H, 0,SMU
Kent St., W, N, 0,SMU
Colorado, W, N, 0,SMU
Tulsa, W, A, 0,SMU
South Florida, W, H, 0,SMU
Cincinnati, W, H, 0,SMU
UCF, W, H, 0,SMU
East Carolina, W, A, 0,SMU
Tulane, W, A, 0,SMU
Houston, W, H, 0,SMU
Temple, L, A, 0,SMU
Memphis, W, H, 0,SMU
Houston, L, A, 0,SMU
South Florida, W, A, 0,SMU
Tulsa, L, H, 0,SMU
Gonzaga, W, H, 0,SMU
Connecticut, L, A, 0,SMU
East Carolina, W, H, 0,SMU
Memphis, W, A, 0,SMU
Tulane, W, H, 0,SMU
Connecticut, W, H, 0,SMU
Cincinnati, L, A, 0,SMU
Siena, W, H, 0,Duke
Bryant, W, H, 0,Duke
Kentucky, L, N, 0,Duke
VCU, W, N, 0,Duke
Georgetown, W, N, 0,Duke
Yale, W, H, 0,Duke
Utah St., W, H, 0,Duke
Indiana, W, H, 0,Duke
Buffalo, W, H, 0,Duke
Georgia Southern, W, H, 0,Duke
Utah, L, N, 0,Duke
Elon, W, H, 0,Duke
Long Beach St., W, H, 0,Duke
Boston College, W, A, 0,Duke
Wake Forest, W, A, 0,Duke
Virginia Tech, W, H, 0,Duke
Clemson, L, A, 0,Duke
Notre Dame, L, H, 0,Duke
Syracuse, L, H, 0,Duke
North Carolina St., W, A, 0,Duke
Miami FL, L, A, 0,Duke
Georgia Tech, W, A, 0,Duke
North Carolina St., W, H, 0,Duke
Louisville, W, H, 0,Duke
Virginia, W, H, 0,Duke
North Carolina, W, A, 0,Duke
Louisville, L, A, 0,Duke
Florida St., W, H, 0,Duke
Pittsburgh, L, A, 0,Duke
Wake Forest, W, H, 0,Duke
North Carolina, L, H, 0,Duke
North Carolina St., W, N, 1,Duke
Notre Dame, L, N, 1,Duke
UNC Wilmington, W, N, 2,Duke
Yale, W, N, 2,Duke
Oregon, L, N, 2,Duke
USC Upstate, W, H, 0,Texas A&M
Southeastern Louisiana, W, H, 0,Texas A&M
Texas A&M Corpus Chris, W, H, 0,Texas A&M
UNC Asheville, W, H, 0,Texas A&M
Texas, W, N, 0,Texas A&M
Gonzaga, W, N, 0,Texas A&M
Syracuse, L, N, 0,Texas A&M
Florida Gulf Coast, W, H, 0,Texas A&M
Arizona St., L, A, 0,Texas A&M
Kansas St., W, H, 0,Texas A&M
Baylor, W, H, 0,Texas A&M
Cal Poly, W, H, 0,Texas A&M
Arkansas, W, H, 0,Texas A&M
Mississippi St., W, A, 0,Texas A&M
Tennessee, W, A, 0,Texas A&M
Florida, W, H, 0,Texas A&M
Georgia, W, A, 0,Texas A&M
LSU, W, H, 0,Texas A&M
Missouri, W, H, 0,Texas A&M
Arkansas, L, A, 0,Texas A&M
Iowa St., W, H, 0,Texas A&M
Vanderbilt, L, A, 0,Texas A&M
South Carolina, L, H, 0,Texas A&M
Alabama, L, A, 0,Texas A&M
LSU, L, A, 0,Texas A&M
Mississippi, W, H, 0,Texas A&M
Kentucky, W, H, 0,Texas A&M
Mississippi St., W, H, 0,Texas A&M
Missouri, W, A, 0,Texas A&M
Auburn, W, A, 0,Texas A&M
Vanderbilt, W, H, 0,Texas A&M
Florida, W, N, 1,Texas A&M
LSU, W, N, 1,Texas A&M
Kentucky, L, N, 1,Texas A&M
Green Bay, W, N, 2,Texas A&M
Northern Iowa, W, N, 2,Texas A&M
Oklahoma, L, N, 2,Texas A&M
Pacific, W, H, 0,Arizona
Bradley, W, H, 0,Arizona
Boise St., W, H, 0,Arizona
Northwestern St., W, H, 0,Arizona
Santa Clara, W, N, 0,Arizona
Providence, L, N, 0,Arizona
Boise St., W, N, 0,Arizona
Gonzaga, W, A, 0,Arizona
Fresno St., W, H, 0,Arizona
Missouri, W, H, 0,Arizona
Northern Arizona, W, H, 0,Arizona
UNLV, W, H, 0,Arizona
Long Beach St., W, H, 0,Arizona
Arizona St., W, A, 0,Arizona
UCLA, L, A, 0,Arizona
USC, L, A, 0,Arizona
Washington, W, H, 0,Arizona
Washington St., W, H, 0,Arizona
Stanford, W, A, 0,Arizona
California, L, A, 0,Arizona
Oregon, L, H, 0,Arizona
Oregon St., W, H, 0,Arizona
Washington St., W, A, 0,Arizona
Washington, W, A, 0,Arizona
UCLA, W, H, 0,Arizona
USC, W, H, 0,Arizona
Arizona St., W, H, 0,Arizona
Colorado, L, A, 0,Arizona
Utah, L, A, 0,Arizona
California, W, H, 0,Arizona
Stanford, W, H, 0,Arizona
Colorado, W, N, 1,Arizona
Oregon, L, N, 1,Arizona
Wichita St., L, N, 2,Arizona
Colorado, W, N, 0,Iowa St.
Chicago St., W, H, 0,Iowa St.
Chattanooga, W, H, 0,Iowa St.
Virginia Tech, W, N, 0,Iowa St.
Illinois, W, N, 0,Iowa St.
North Dakota St., W, H, 0,Iowa St.
Buffalo, W, H, 0,Iowa St.
Iowa, W, H, 0,Iowa St.
Arkansas Pine Bluff, W, H, 0,Iowa St.
Northern Iowa, L, N, 0,Iowa St.
Cincinnati, W, A, 0,Iowa St.
Coppin St., W, H, 0,Iowa St.
Oklahoma, L, A, 0,Iowa St.
Texas Tech, W, H, 0,Iowa St.
Baylor, L, H, 0,Iowa St.
Texas, L, A, 0,Iowa St.
Kansas St., W, A, 0,Iowa St.
Oklahoma, W, H, 0,Iowa St.
TCU, W, A, 0,Iowa St.
Kansas, W, H, 0,Iowa St.
Texas A&M, L, A, 0,Iowa St.
West Virginia, L, H, 0,Iowa St.
Oklahoma St., W, A, 0,Iowa St.
Texas Tech, L, A, 0,Iowa St.
Texas, W, H, 0,Iowa St.
Baylor, L, A, 0,Iowa St.
TCU, W, H, 0,Iowa St.
West Virginia, L, A, 0,Iowa St.
Kansas St., W, H, 0,Iowa St.
Oklahoma St., W, H, 0,Iowa St.
Kansas, L, A, 0,Iowa St.
Oklahoma, L, N, 1,Iowa St.
Iona, W, N, 2,Iowa St.
Arkansas Little Rock, W, N, 2,Iowa St.
Virginia, L, N, 2,Iowa St.
Northern Arizona, W, H, 0,Gonzaga
Mount St. Mary's, W, H, 0,Gonzaga
Washington, W, N, 0,Gonzaga
Texas A&M, L, N, 0,Gonzaga
Connecticut, W, N, 0,Gonzaga
Washington St., W, A, 0,Gonzaga
Arizona, L, H, 0,Gonzaga
Montana, W, H, 0,Gonzaga
UCLA, L, H, 0,Gonzaga
Tennessee, W, H, 0,Gonzaga
Pepperdine, W, H, 0,Gonzaga
Loyola Marymount, W, H, 0,Gonzaga
Santa Clara, W, A, 0,Gonzaga
San Francisco, W, A, 0,Gonzaga
Portland, W, H, 0,Gonzaga
BYU, L, H, 0,Gonzaga
San Diego, W, H, 0,Gonzaga
Saint Mary's, L, A, 0,Gonzaga
Pacific, W, A, 0,Gonzaga
Santa Clara, W, H, 0,Gonzaga
San Francisco, W, H, 0,Gonzaga
Loyola Marymount, W, A, 0,Gonzaga
Pepperdine, W, A, 0,Gonzaga
Portland, W, A, 0,Gonzaga
SMU, L, A, 0,Gonzaga
Pacific, W, H, 0,Gonzaga
Saint Mary's, L, H, 0,Gonzaga
San Diego, W, A, 0,Gonzaga
BYU, W, A, 0,Gonzaga
Portland, W, N, 1,Gonzaga
BYU, W, N, 1,Gonzaga
Saint Mary's, W, N, 1,Gonzaga
Seton Hall, W, N, 2,Gonzaga
Utah, W, N, 2,Gonzaga
Syracuse, L, N, 2,Gonzaga
Mount St. Mary's, W, H, 0,Maryland
Georgetown, W, H, 0,Maryland
Rider, W, H, 0,Maryland
Illinois St., W, N, 0,Maryland
Rhode Island, W, N, 0,Maryland
Cleveland St., W, H, 0,Maryland
