opponent, outcome, home/away, team1
Marist, W, H,Kentucky
Kansas, W, N,Kentucky
Penn St., W, N,Kentucky
Old Dominion, W, N,Kentucky
Radford, W, H,Kentucky
Portland, W, H,Kentucky
St. John's, W, H,Kentucky
North Carolina, W, H,Kentucky
Indiana, L, A,Kentucky
Chattanooga, W, H,Kentucky
Samford, W, H,Kentucky
Loyola MD, W, H,Kentucky
Lamar, W, H,Kentucky
Louisville, W, H,Kentucky
Arkansas Little Rock, W, H,Kentucky
South Carolina, W, H,Kentucky
Auburn, W, A,Kentucky
Tennessee, W, A,Kentucky
Arkansas, W, H,Kentucky
Alabama, W, H,Kentucky
Georgia, W, A,Kentucky
LSU, W, A,Kentucky
Tennessee, W, H,Kentucky
South Carolina, W, A,Kentucky
Florida, W, H,Kentucky
Vanderbilt, W, A,Kentucky
Mississippi, W, H,Kentucky
Mississippi St., W, A,Kentucky
Vanderbilt, W, H,Kentucky
Georgia, W, H,Kentucky
Florida, W, A,Kentucky
LSU, W, N,Kentucky
Florida, W, N,Kentucky
Vanderbilt, L, N,Kentucky
Western Kentucky, W, N,Kentucky
Iowa St., W, H,Kentucky
Indiana, W, N,Kentucky
Baylor, W, N,Kentucky
Louisville, W, N,Kentucky
Kansas, W, N,Kentucky
Wright St., W, H,Ohio St.
Florida, W, H,Ohio St.
Jackson St., W, H,Ohio St.
North Florida, W, H,Ohio St.
VMI, W, H,Ohio St.
Valparaiso, W, H,Ohio St.
Duke, W, H,Ohio St.
Texas Pan American, W, H,Ohio St.
Kansas, L, A,Ohio St.
USC Upstate, W, H,Ohio St.
South Carolina, W, A,Ohio St.
Lamar, W, H,Ohio St.
Miami OH, W, H,Ohio St.
Northwestern, W, H,Ohio St.
Indiana, L, A,Ohio St.
Nebraska, W, H,Ohio St.
Iowa, W, A,Ohio St.
Illinois, L, A,Ohio St.
Indiana, W, H,Ohio St.
Nebraska, W, A,Ohio St.
Penn St., W, H,Ohio St.
Michigan, W, H,Ohio St.
Wisconsin, W, A,Ohio St.
Purdue, W, H,Ohio St.
Michigan St., L, H,Ohio St.
Minnesota, W, A,Ohio St.
Michigan, L, A,Ohio St.
Illinois, W, H,Ohio St.
Wisconsin, L, H,Ohio St.
Northwestern, W, A,Ohio St.
Michigan St., W, A,Ohio St.
Purdue, W, N,Ohio St.
Michigan, W, N,Ohio St.
Michigan St., L, N,Ohio St.
Loyola MD, W, N,Ohio St.
Gonzaga, W, N,Ohio St.
Cincinnati, W, N,Ohio St.
Syracuse, W, N,Ohio St.
Kansas, L, N,Ohio St.
North Carolina, L, N,Michigan St.
Duke, L, N,Michigan St.
Texas Southern, W, H,Michigan St.
Arkansas Little Rock, W, H,Michigan St.
Milwaukee, W, H,Michigan St.
Eastern Michigan, W, A,Michigan St.
Florida St., W, H,Michigan St.
Nebraska Omaha, W, H,Michigan St.
Central Connecticut, W, H,Michigan St.
Gonzaga, W, A,Michigan St.
Bowling Green, W, H,Michigan St.
UMKC, W, H,Michigan St.
Lehigh, W, H,Michigan St.
Indiana, W, H,Michigan St.
Nebraska, W, A,Michigan St.
Wisconsin, W, A,Michigan St.
Iowa, W, H,Michigan St.
Northwestern, L, A,Michigan St.
Michigan, L, A,Michigan St.
Purdue, W, H,Michigan St.
Minnesota, W, H,Michigan St.
Illinois, L, A,Michigan St.
Michigan, W, H,Michigan St.
Penn St., W, H,Michigan St.
Ohio St., W, A,Michigan St.
Wisconsin, W, H,Michigan St.
Purdue, W, A,Michigan St.
Minnesota, W, A,Michigan St.
Nebraska, W, H,Michigan St.
Indiana, L, A,Michigan St.
Ohio St., L, H,Michigan St.
Iowa, W, N,Michigan St.
Wisconsin, W, N,Michigan St.
Ohio St., W, N,Michigan St.
LIU Brooklyn, W, N,Michigan St.
Saint Louis, W, N,Michigan St.
Louisville, L, N,Michigan St.
Towson, W, H,Kansas
Kentucky, L, N,Kansas
Georgetown, W, N,Kansas
UCLA, W, N,Kansas
Duke, L, N,Kansas
Florida Atlantic, W, H,Kansas
South Florida, W, H,Kansas
Long Beach St., W, H,Kansas
Ohio St., W, H,Kansas
Davidson, L, H,Kansas
USC, W, A,Kansas
Howard, W, H,Kansas
North Dakota, W, H,Kansas
Kansas St., W, H,Kansas
Oklahoma, W, A,Kansas
Texas Tech, W, A,Kansas
Iowa St., W, H,Kansas
Baylor, W, H,Kansas
Texas, W, A,Kansas
Texas A&M, W, H,Kansas
Iowa St., L, A,Kansas
Oklahoma, W, H,Kansas
Missouri, L, A,Kansas
Baylor, W, A,Kansas
Oklahoma St., W, H,Kansas
Kansas St., W, A,Kansas
Texas Tech, W, H,Kansas
Texas A&M, W, A,Kansas
Missouri, W, H,Kansas
Oklahoma St., W, A,Kansas
Texas, W, H,Kansas
Texas A&M, W, H,Kansas
Baylor, L, H,Kansas
Detroit, W, N,Kansas
Purdue, W, N,Kansas
North Carolina St., W, N,Kansas
North Carolina, W, N,Kansas
Ohio St., W, N,Kansas
Kentucky, L, N,Kansas
Fordham, W, H,Syracuse
Manhattan, W, H,Syracuse
Albany, W, H,Syracuse
Colgate, W, H,Syracuse
Virginia Tech, W, N,Syracuse
Stanford, W, H,Syracuse
Eastern Michigan, W, H,Syracuse
Florida, W, H,Syracuse
Marshall, W, H,Syracuse
George Washington, W, H,Syracuse
North Carolina St., W, A,Syracuse
Bucknell, W, H,Syracuse
Tulane, W, H,Syracuse
Seton Hall, W, H,Syracuse
DePaul, W, A,Syracuse
Providence, W, A,Syracuse
Marquette, W, H,Syracuse
Villanova, W, A,Syracuse
Providence, W, H,Syracuse
Pittsburgh, W, H,Syracuse
Notre Dame, L, A,Syracuse
Cincinnati, W, A,Syracuse
West Virginia, W, H,Syracuse
St. John's, W, A,Syracuse
Georgetown, W, H,Syracuse
Connecticut, W, H,Syracuse
Louisville, W, A,Syracuse
Rutgers, W, A,Syracuse
South Florida, W, H,Syracuse
Connecticut, W, A,Syracuse
Louisville, W, H,Syracuse
Connecticut, W, N,Syracuse
Cincinnati, L, N,Syracuse
UNC Asheville, W, N,Syracuse
Kansas St., W, N,Syracuse
Wisconsin, W, N,Syracuse
Ohio St., L, N,Syracuse
Michigan St., W, N,North Carolina
UNC Asheville, W, A,North Carolina
Mississippi Valley St., W, H,North Carolina
Tennessee St., W, H,North Carolina
South Carolina, W, N,North Carolina
UNLV, L, A,North Carolina
Wisconsin, W, H,North Carolina
Kentucky, L, A,North Carolina
Evansville, W, H,North Carolina
Long Beach St., W, H,North Carolina
Appalachian St., W, H,North Carolina
Nicholls St., W, H,North Carolina
Texas, W, H,North Carolina
Elon, W, H,North Carolina
Monmouth, W, H,North Carolina
Boston College, W, H,North Carolina
Miami FL, W, H,North Carolina
Florida St., L, A,North Carolina
Virginia Tech, W, A,North Carolina
North Carolina St., W, H,North Carolina
Georgia Tech, W, H,North Carolina
Wake Forest, W, A,North Carolina
Maryland, W, A,North Carolina
Duke, L, H,North Carolina
Virginia, W, H,North Carolina
Miami FL, W, A,North Carolina
Clemson, W, H,North Carolina
North Carolina St., W, A,North Carolina
Virginia, W, A,North Carolina
Maryland, W, H,North Carolina
Duke, W, A,North Carolina
Maryland, W, N,North Carolina
North Carolina St., W, N,North Carolina
Florida St., L, N,North Carolina
Vermont, W, H,North Carolina
Creighton, W, H,North Carolina
Ohio, W, N,North Carolina
Kansas, L, N,North Carolina
Southeast Missouri St., W, H,Missouri
Mercer, W, H,Missouri
Niagara, W, H,Missouri
Notre Dame, W, H,Missouri
California, W, H,Missouri
Binghamton, W, H,Missouri
Northwestern St., W, H,Missouri
Villanova, W, A,Missouri
Navy, W, H,Missouri
Kennesaw St., W, H,Missouri
William & Mary, W, H,Missouri
Illinois, W, N,Missouri
Old Dominion, W, A,Missouri
Oklahoma, W, H,Missouri
Kansas St., L, A,Missouri
Iowa St., W, A,Missouri
Texas, W, H,Missouri
Texas A&M, W, H,Missouri
Baylor, W, A,Missouri
Oklahoma St., L, A,Missouri
Texas Tech, W, H,Missouri
Texas, W, A,Missouri
Kansas, W, H,Missouri
Oklahoma, W, A,Missouri
Baylor, W, H,Missouri
Oklahoma St., W, H,Missouri
Texas A&M, W, A,Missouri
Kansas St., L, H,Missouri
Kansas, L, A,Missouri
Iowa St., W, H,Missouri
Texas Tech, W, A,Missouri
Oklahoma St., W, N,Missouri
Texas, W, N,Missouri
Baylor, W, N,Missouri
Norfolk St., L, N,Missouri
Kennesaw St., W, H,Wisconsin
Colgate, W, H,Wisconsin
Wofford, W, H,Wisconsin
UMKC, W, H,Wisconsin
Bradley, W, N,Wisconsin
BYU, W, N,Wisconsin
North Carolina, L, A,Wisconsin
Marquette, L, H,Wisconsin
Green Bay, W, H,Wisconsin
UNLV, W, H,Wisconsin
Milwaukee, W, A,Wisconsin
Savannah St., W, H,Wisconsin
Mississippi Valley St., W, H,Wisconsin
Nebraska, W, A,Wisconsin
Iowa, L, H,Wisconsin
Michigan St., L, H,Wisconsin
Michigan, L, A,Wisconsin
Purdue, W, A,Wisconsin
Nebraska, W, H,Wisconsin
Northwestern, W, H,Wisconsin
Illinois, W, A,Wisconsin
Indiana, W, H,Wisconsin
Penn St., W, A,Wisconsin
Ohio St., L, H,Wisconsin
Minnesota, W, A,Wisconsin
Michigan St., L, A,Wisconsin
Penn St., W, H,Wisconsin
Iowa, L, A,Wisconsin
Ohio St., W, A,Wisconsin
Minnesota, W, H,Wisconsin
Illinois, W, H,Wisconsin
Indiana, W, A,Wisconsin
Michigan St., L, N,Wisconsin
Montana, W, N,Wisconsin
Vanderbilt, W, N,Wisconsin
Syracuse, L, N,Wisconsin
Stony Brook, W, H,Indiana
Chattanooga, W, H,Indiana
Evansville, W, A,Indiana
Savannah St., W, H,Indiana
Gardner Webb, W, H,Indiana
Butler, W, H,Indiana
North Carolina St., W, A,Indiana
Stetson, W, H,Indiana
Kentucky, W, H,Indiana
Notre Dame, W, N,Indiana
Howard, W, H,Indiana
UMBC, W, H,Indiana
Michigan St., L, A,Indiana
Ohio St., W, H,Indiana
Michigan, W, H,Indiana
Penn St., W, A,Indiana
Minnesota, L, H,Indiana
Ohio St., L, A,Indiana
Nebraska, L, A,Indiana
Penn St., W, H,Indiana
Wisconsin, L, A,Indiana
Iowa, W, H,Indiana
Michigan, L, A,Indiana
Purdue, W, A,Indiana
Illinois, W, H,Indiana
Northwestern, W, H,Indiana
Iowa, L, A,Indiana
North Carolina Central, W, H,Indiana
Minnesota, W, A,Indiana
Michigan St., W, H,Indiana
Purdue, W, H,Indiana
Penn St., W, H,Indiana
Wisconsin, L, H,Indiana
New Mexico St., W, N,Indiana
VCU, W, N,Indiana
Kentucky, L, N,Indiana
Jackson St., W, H,Florida
Ohio St., L, A,Florida
North Florida, W, H,Florida
Wright St., W, H,Florida
Jacksonville, W, H,Florida
Stetson, W, H,Florida
Syracuse, L, A,Florida
Arizona, W, H,Florida
Rider, W, H,Florida
Texas A&M, W, H,Florida
Mississippi Valley St., W, H,Florida
Florida St., W, H,Florida
Rutgers, L, A,Florida
Yale, W, H,Florida
UAB, W, H,Florida
Tennessee, L, A,Florida
Georgia, W, H,Florida
South Carolina, W, A,Florida
LSU, W, H,Florida
Mississippi, W, A,Florida
Mississippi St., W, H,Florida
South Carolina, W, H,Florida
Vanderbilt, W, H,Florida
Kentucky, L, A,Florida
Tennessee, L, H,Florida
Alabama, W, A,Florida
Arkansas, W, A,Florida
Auburn, W, H,Florida
Georgia, L, A,Florida
Vanderbilt, L, A,Florida
Kentucky, L, H,Florida
Alabama, W, N,Florida
Kentucky, L, N,Florida
Virginia, W, N,Florida
Norfolk St., W, N,Florida
Marquette, W, N,Florida
Louisville, L, N,Florida
Charleston Southern, W, H,Wichita St.
