opponent, outcome, home/away, team1
Manhattan, W, H,Louisville
Samford, W, H,Louisville
Miami OH, W, H,Louisville
Northern Iowa, W, N,Louisville
Missouri, W, N,Louisville
Duke, L, N,Louisville
Illinois St., W, H,Louisville
College of Charleston, W, A,Louisville
UMKC, W, H,Louisville
Memphis, W, A,Louisville
FIU, W, H,Louisville
Western Kentucky, W, N,Louisville
Kentucky, W, H,Louisville
Providence, W, H,Louisville
Seton Hall, W, A,Louisville
South Florida, W, H,Louisville
Connecticut, W, A,Louisville
Syracuse, L, H,Louisville
Villanova, L, A,Louisville
Georgetown, L, A,Louisville
Pittsburgh, W, H,Louisville
Marquette, W, H,Louisville
Rutgers, W, A,Louisville
Notre Dame, L, A,Louisville
St. John's, W, H,Louisville
South Florida, W, A,Louisville
Seton Hall, W, H,Louisville
DePaul, W, A,Louisville
Syracuse, W, A,Louisville
Cincinnati, W, H,Louisville
Notre Dame, W, H,Louisville
Villanova, W, N,Louisville
Notre Dame, W, N,Louisville
Syracuse, W, N,Louisville
North Carolina A&T, W, H,Louisville
Colorado St., W, H,Louisville
Oregon, W, N,Louisville
Duke, W, N,Louisville
Wichita St., W, N,Louisville
Michigan, W, N,Louisville
Alabama St., W, H,Florida
Wisconsin, W, H,Florida
Middle Tennessee, W, H,Florida
Savannah St., W, H,Florida
UCF, W, H,Florida
Marquette, W, H,Florida
Florida St., W, A,Florida
Arizona, L, A,Florida
Southeastern Louisiana, W, H,Florida
Kansas St., L, A,Florida
Air Force, W, H,Florida
Yale, W, A,Florida
Georgia, W, H,Florida
LSU, W, A,Florida
Texas A&M, W, A,Florida
Missouri, W, H,Florida
Georgia, W, A,Florida
Mississippi St., W, A,Florida
South Carolina, W, H,Florida
Mississippi, W, H,Florida
Arkansas, L, A,Florida
Mississippi St., W, H,Florida
Kentucky, W, H,Florida
Auburn, W, A,Florida
Missouri, L, A,Florida
Arkansas, W, H,Florida
Tennessee, L, A,Florida
Alabama, W, H,Florida
Vanderbilt, W, H,Florida
Kentucky, L, A,Florida
LSU, W, N,Florida
Alabama, W, N,Florida
Mississippi, L, N,Florida
Northwestern St., W, N,Florida
Minnesota, W, N,Florida
Florida Gulf Coast, W, N,Florida
Michigan, L, N,Florida
Bryant, W, H,Indiana
North Dakota St., W, H,Indiana
Sam Houston St., W, H,Indiana
Georgia, W, N,Indiana
Georgetown, W, N,Indiana
Ball St., W, H,Indiana
North Carolina, W, H,Indiana
Coppin St., W, H,Indiana
Central Connecticut, W, H,Indiana
Butler, L, N,Indiana
Mount St. Mary's, W, H,Indiana
Florida Atlantic, W, H,Indiana
Jacksonville, W, H,Indiana
Iowa, W, A,Indiana
Penn St., W, A,Indiana
Minnesota, W, H,Indiana
Wisconsin, L, H,Indiana
Northwestern, W, A,Indiana
Penn St., W, H,Indiana
Michigan St., W, H,Indiana
Purdue, W, A,Indiana
Michigan, W, H,Indiana
Illinois, L, A,Indiana
Ohio St., W, A,Indiana
Nebraska, W, H,Indiana
Purdue, W, H,Indiana
Michigan St., W, A,Indiana
Minnesota, L, A,Indiana
Iowa, W, H,Indiana
Ohio St., L, H,Indiana
Michigan, W, A,Indiana
Illinois, W, N,Indiana
Wisconsin, L, N,Indiana
James Madison, W, N,Indiana
Temple, W, N,Indiana
Syracuse, L, N,Indiana
IUPUI, W, H,Michigan
Cleveland St., W, H,Michigan
